,cloudiness,humidity,lat,temp,wind speed
480,90,92,41.69,31.28,3.4
481,20,88,-31.98,52.11,2.39
482,90,77,70.15,1.4,29.97
483,90,75,48.11,39.18,10.29
484,0,78,47.62,35.82,5.19
485,90,61,45.33,13.37,8.05
486,68,100,55.5,32.58,11.41
487,88,92,50.25,33.48,20.18
488,90,86,49.43,40.08,14.99
489,0,61,27.21,57.28,4.41
490,1,78,45.39,15.46,10.29
491,75,59,40.77,35.6,7.65
492,90,93,49.93,39.2,8.05
493,40,87,37.28,54.46,3.4
494,75,98,51.1,34.34,13.87
495,75,78,39.49,37.06,14.99
496,36,70,41.27,42.78,4.7
497,80,85,55.91,4.68,4.41
498,0,57,29.5,55.93,6.2
499,0,54,48.88,15.07,4.07
